172.19.2.161, "gfx01-1" 
172.19.2.162, "gfx01-2" 
172.19.2.163, "gfx01-3" 
172.19.2.164, "gfx01-4" 
172.19.2.165, "gfx01-5" 
172.19.2.166, "gfx01-6" 
172.19.2.167, "gfx01-7" 
172.19.2.168, "gfx01-8" 
172.19.2.171, "gfx02-1" 
172.19.2.172, "gfx02-2" 
172.19.2.173, "gfx02-3" 
172.19.2.174, "gfx02-4" 
172.19.2.175, "gfx02-5" 
172.19.2.176, "gfx02-6" 
172.19.2.177, "gfx02-7" 
172.19.2.178, "gfx02-8" 
172.19.2.181, "gfx03-1" 
172.19.2.182, "gfx03-2" 
172.19.2.183, "gfx03-3" 
172.19.2.184, "gfx03-4" 
172.19.2.186, "gfx03-6" 
172.19.2.187, "gfx03-7" 
172.19.2.188, "gfx03-8" 
